Member_Id,ListAs,DisplayAs,FullTitle
1400,"Brennan, Kevin",Kevin Brennan,Kevin Brennan MP
4133,"Bridgen, Andrew",Andrew Bridgen,Andrew Bridgen MP
1119,"Bright, Graham",Sir Graham Bright,Sir Graham Bright
4067,"Brine, Steve",Steve Brine,Steve Brine MP
1120,"Brinton, Tim",Tim Brinton,Tim Brinton
709,"Brittan of Spennithorne, L.",Lord Brittan of Spennithorne,The Rt Hon. the Lord Brittan of Spennithorne QC
762,"Brocklebank-Fowler, Christopher",Christopher Brocklebank-Fowler,Christopher Brocklebank-Fowler
1530,"Brokenshire, James",James Brokenshire,James Brokenshire MP
1431,"Brooke, Annette",Annette Brooke,Rt Hon Annette Brooke MP
154,"Brooke of Sutton Mandeville, L.",Lord Brooke of Sutton Mandeville,The Rt Hon. the Lord Brooke of Sutton Mandeville CH
1619,"Brooks, Edwin",Edwin  Brooks,Edwin  Brooks
763,"Brotherton, Michael",Michael Brotherton,Michael Brotherton
591,"Brown, Gordon",Mr Gordon Brown,Rt Hon Gordon Brown MP
1008,"Brown, Hugh",Hugh Brown,Hugh Brown
1583,"Brown, Lyn",Lyn Brown,Lyn Brown MP
1121,"Brown, Michael",Michael Brown,Michael Brown
523,"Brown, Nicholas",Mr Nicholas Brown,Rt Hon Nicholas Brown MP
1055,"Brown, Robert",Robert Brown,Robert Brown
1122,"Brown, Ron",Ron Brown,Ron Brown
1061,"Brown, Ronald W.",Ronald W. Brown,Ronald W. Brown
588,"Brown, Russell",Mr Russell Brown,Mr Russell Brown MP
1575,"Browne, Jeremy",Mr Jeremy Browne,Mr Jeremy Browne MP
1196,"Browne, John",Mr John Browne,Mr John Browne
620,"Browne of Ladyton, L.",Lord Browne of Ladyton,The Rt Hon. the Lord Browne of Ladyton
236,"Browning, B.",Baroness Browning,The Baroness Browning
3958,"Bruce, Fiona",Fiona Bruce,Fiona Bruce MP
246,"Bruce, Ian",Mr Ian Bruce,Mr Ian Bruce
615,"Bruce, Malcolm",Sir Malcolm Bruce,Rt Hon Sir Malcolm Bruce MP
3100,"Bruce-Gardyne, L.",Lord Bruce-Gardyne,The Lord Bruce-Gardyne
765,"Bruinvels, Peter",Peter Bruinvels,Peter Bruinvels
1042,"Bryan, Paul",Sir Paul Bryan,Sir Paul Bryan
1446,"Bryant, Chris",Chris Bryant,Chris Bryant MP
721,"Buchan, Norman",Norman Buchan,Norman Buchan
